CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOTAL_CENSO_2020,tot_integ,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,transfer,gasto_mon,alimentos,ali_dentro,cereales,carnes,pescado,leche,huevo,aceites,tuberculo,verduras,frutas,azucar,cafe,especias,otros_alim,bebidas,ali_fuera,tabaco,vesti_calz,vestido,calzado,vivienda,alquiler,pred_cons,agua,energia,limpieza,cuidados,utensilios,enseres,salud,ambul_serv,aten_hosp,medic_prod,transporte,publico,foraneo,adqui_vehi,mantenim,refaccion,combus,comunica,educa_espa,educacion,esparci,paq_turist,personales,cuida_pers,acces_pers,pago_tarje,deudas,balance,hogares
30,Veracruz de Ignacio de la Llave,069,Gutiérrez Zamora,24085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,070,Hidalgotitlán,18275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,071,Huatusco,59920,77216.0,30480.0,46736.0,67056.0,10160.0,59944.0,7112.0,1290761604.4,103914864.55999999,776304934.5599998,273931552.71999997,207572386.48000002,47117091.44,46000487.12,548629.84,21383670.720000003,9738248.24,2103089.52,2220640.7199999997,20636859.919999994,6722170.960000001,1397701.04,1280129.52,1541393.92,31925493.680000003,14956779.84,66359166.239999995,0.0,22688763.359999996,9108053.92,13580709.440000001,55615067.84,12388626.48,1996440.0,7065264.0,34164737.36,49989353.919999994,38551418.96,1232418.16,10205516.799999999,40570241.440000005,17293986.24,0.0,23276255.199999996,128444863.76,14421195.440000001,5126421.04,20872165.52,35750469.519999996,496956.08,35253513.44,52274612.24,65140128.79999999,49013607.839999996,15381091.92,745429.04,68609362.4,65902972.08,1451091.8400000003,993912.16,0.0,0.0,22352.0
30,Veracruz de Ignacio de la Llave,072,Huayacocotla,21796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,073,Hueyapan de Ocampo,41670,79590.0,35720.0,43870.0,67080.0,12510.0,59540.0,7540.0,833888502.0,279920622.1,493248170.9,262398465.29999998,247652036.2,34565587.6,74268408.80000001,11927494.2,17226797.0,12399249.2,6754295.199999999,4000816.6,37734415.199999996,4573606.3,2707940.4,3273004.9000000004,3849642.5999999996,16994766.1,17376012.1,14746429.1,0.0,13457156.6,6086549.1,7370607.5,31085705.3,0.0,794250.0,3293955.0,26997500.3,32779494.8,28986376.900000002,1579912.5,2213205.4,16746981.099999998,5835773.6,0.0,10911207.5,66862565.8,21410209.200000003,525707.0,0.0,28521888.0,509089.4,28012798.6,16404761.600000001,13262963.100000001,10523541.4,2739421.7,0.0,46164964.4,38407942.7,1511363.2,1563929.3,564938.0,1815539.0,24860.0
30,Veracruz de Ignacio de la Llave,074,Huiloapan de Cuauhtémoc,7293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,075,Ignacio de la Llave,16525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,076,Ilamatlán,13377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,077,Isla,42807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,078,Ixcatepec,12379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
